time_sec,value
0.000000,13.428944
0.127029,13.820078
0.254058,13.820078
0.381087,13.820078
0.508116,13.820078
0.635145,13.820078
0.762174,13.820078
0.889203,13.820078
1.016231,13.820078
1.143260,13.820078
1.270289,13.820078
1.397318,13.820078
1.524347,13.820078
1.651376,13.820078
1.778405,13.820078
1.905434,13.820078
2.032463,13.820078
2.159492,13.559322
2.286521,13.559322
2.413550,13.559322
2.540579,13.559322
2.667608,13.820078
2.794637,13.820078
2.921665,13.820078
3.048694,13.820078
3.175723,13.820078
3.302752,13.820078
3.429781,13.820078
3.556810,13.820078
3.683839,13.820078
3.810868,13.820078
3.937897,13.820078
4.064926,13.820078
4.191955,13.820078
4.318984,13.820078
4.446013,13.820078
4.573042,13.820078
4.700071,13.820078
4.827100,13.820078
4.954128,13.820078
5.081157,13.820078
5.208186,13.950456
5.335215,13.950456
5.462244,14.341591
5.589273,14.341591
5.716302,14.732725
5.843331,14.732725
5.970360,14.993481
6.097389,14.993481
6.224418,14.993481
6.351447,14.993481
6.478476,14.993481
6.605505,14.993481
6.732534,14.993481
6.859562,14.993481
6.986591,14.993481
7.113620,14.993481
7.240649,14.993481
7.367678,14.993481
7.494707,14.993481
7.621736,14.993481
7.748765,14.993481
7.875794,14.993481
8.002823,14.863103
8.129852,14.863103
8.256881,14.993481
8.383910,14.993481
8.510939,15.775750
8.637968,15.775750
8.764996,15.775750
8.892025,15.775750
9.019054,15.775750
9.146083,15.775750
9.273112,15.775750
9.400141,15.775750
9.527170,15.775750
9.654199,15.775750
9.781228,15.775750
9.908257,15.710561
10.035286,15.384615
10.162315,15.384615
10.289344,15.123859
10.416373,15.123859
10.543402,14.993481
10.670430,14.993481
10.797459,14.863103
10.924488,14.863103
11.051517,14.602347
11.178546,14.602347
11.305575,14.863103
11.432604,14.863103
11.559633,14.993481
11.686662,14.993481
11.813691,14.993481
11.940720,14.993481
12.067749,14.993481
12.194778,14.993481
12.321807,14.993481
12.448836,14.993481
12.575865,14.993481
12.702893,14.993481
12.829922,14.993481
12.956951,14.993481
13.083980,14.993481
13.211009,14.993481
13.338038,14.993481
13.465067,14.993481
13.592096,14.993481
13.719125,14.993481
13.846154,14.993481
13.973183,15.645372
14.100212,15.775750
14.227241,15.775750
14.354270,15.775750
14.481299,15.775750
14.608327,15.775750
14.735356,15.775750
14.862385,15.775750
14.989414,15.775750
15.116443,15.775750
15.243472,15.775750
15.370501,15.775750
15.497530,15.775750
15.624559,15.775750
15.751588,15.775750
15.878617,15.775750
16.005646,15.775750
16.132675,15.775750
16.259704,15.775750
16.386733,16.427640
16.513761,16.427640
16.640790,16.818774
16.767819,16.818774
16.894848,16.818774
17.021877,16.818774
17.148906,16.818774
17.275935,16.818774
17.402964,16.818774
17.529993,16.818774
17.657022,16.818774
17.784051,16.818774
17.911080,16.818774
18.038109,16.818774
18.165138,16.818774
18.292167,16.818774
18.419195,16.818774
