time_sec,value
10.035286,20.741222
10.162315,20.741222
10.289344,20.806242
10.416373,20.806242
10.543402,20.806242
10.670430,20.806242
10.797459,20.806242
10.924488,20.806242
11.051517,20.806242
11.178546,20.741222
17.657022,17.815345
17.784051,17.815345
17.911080,17.815345
18.038109,17.815345
18.165138,17.815345
18.292167,17.815345
18.419195,17.815345
18.546224,17.815345
18.673253,17.815345
18.800282,17.815345
18.927311,17.815345
19.054340,17.815345
19.181369,17.815345
19.308398,17.815345
19.435427,17.815345
19.562456,17.815345
26.294989,17.750325
26.422018,17.750325
26.549047,17.750325
26.676076,17.750325
26.803105,17.750325
26.930134,17.750325
27.057163,17.750325
30.486944,17.035111
30.613973,17.035111
30.741002,17.035111
30.868031,17.035111
30.995060,17.035111
31.122089,17.035111
31.249118,17.035111
31.376147,17.035111
34.170783,17.815345
34.297812,17.815345
34.424841,17.815345
34.551870,17.815345
34.678899,17.815345
34.805928,17.815345
34.932957,17.815345
37.092449,17.815345
37.219478,17.815345
37.346507,17.815345
37.473536,17.815345
37.600565,17.815345
37.727594,17.815345
37.854622,17.815345
37.981651,17.815345
38.108680,17.815345
38.235709,17.815345
38.362738,17.815345
38.489767,17.815345
38.870854,17.815345
38.997883,17.815345
39.124912,17.815345
39.251941,17.815345
39.378970,17.815345
39.505999,17.815345
39.633028,17.815345
39.760056,17.815345
45.730416,17.035111
45.857445,17.035111
45.984474,17.035111
46.111503,17.035111
46.238532,17.035111
46.365561,17.035111
46.492590,17.035111
46.619619,17.035111
48.779111,17.035111
48.906140,17.035111
49.033169,17.035111
49.160198,17.035111
49.287227,17.035111
49.414255,17.035111
49.541284,85.565670
49.668313,85.565670
49.795342,85.565670
49.922371,85.565670
50.049400,85.565670
50.176429,85.565670
50.303458,85.565670
50.430487,37.646294
50.557516,17.035111
50.684545,17.035111
50.811574,17.035111
50.938603,17.035111
51.065632,17.035111
51.192661,17.035111
51.319689,17.035111
51.446718,17.035111
54.622442,16.905072
54.749471,16.905072
54.876500,16.905072
55.003529,16.905072
55.130558,16.905072
55.257586,16.905072
55.384615,16.905072
55.511644,16.905072
55.638673,16.905072
55.765702,16.905072
55.892731,16.905072
56.019760,16.905072
56.908963,17.815345
57.035992,17.815345
57.163020,17.815345
57.290049,17.815345
57.417078,17.815345
57.544107,17.815345
57.671136,17.815345
57.798165,17.815345
57.925194,17.815345
58.052223,17.815345
58.179252,17.035111
58.306281,17.035111
58.433310,17.035111
58.560339,17.035111
58.687368,17.035111
58.814397,17.035111
58.941426,17.035111
59.068454,17.035111
59.449541,17.685306
59.576570,17.685306
59.703599,17.685306
59.830628,17.685306
59.957657,17.685306
60.084686,17.685306
60.211715,17.685306
60.338744,17.685306
60.465773,17.685306
60.592802,17.685306
72.152435,17.035111
72.279464,17.035111
72.406493,17.035111
72.533522,17.035111
72.660550,17.035111
72.787579,17.035111
72.914608,17.035111
73.041637,17.035111
73.168666,17.035111
73.295695,17.035111
73.422724,17.035111
73.549753,17.035111
73.676782,17.035111
73.803811,17.035111
73.930840,17.035111
74.057869,17.035111
74.184898,17.035111
74.311927,17.035111
74.438956,17.035111
74.565984,17.035111
74.693013,17.035111
74.820042,17.035111
74.947071,17.035111
75.074100,17.035111
75.201129,17.035111
75.328158,17.035111
75.455187,17.035111
75.582216,17.035111
75.709245,17.035111
75.836274,17.035111
75.963303,17.035111
76.090332,17.035111
76.217361,17.035111
76.344390,17.035111
76.471418,17.035111
76.598447,17.035111
76.725476,17.035111
76.852505,17.035111
76.979534,17.815345
77.106563,17.815345
77.233592,17.815345
77.360621,17.815345
77.487650,17.815345
77.614679,17.815345
77.741708,17.815345
77.868737,17.815345
77.995766,17.100130
78.122795,17.100130
78.249824,17.100130
78.376853,17.035111
78.503881,17.035111
78.630910,17.035111
78.757939,17.035111
78.884968,17.035111
79.011997,17.035111
79.139026,17.035111
79.266055,17.035111
79.393084,17.035111
79.520113,17.035111
79.647142,17.035111
79.774171,17.035111
79.901200,17.035111
80.028229,17.035111
80.155258,17.035111
80.282287,17.035111
80.409315,17.035111
80.536344,16.840052
80.790402,16.905072
80.917431,16.905072
81.044460,16.905072
81.171489,16.905072
81.298518,16.905072
81.425547,16.905072
81.552576,16.905072
81.679605,16.905072
81.806634,17.815345
